original context,perturbed context,question,answer,appear times,editing time,after cutoff?
"A pickled cucumber (commonly known as a pickle in the United States and Canada and a gherkin in Britain, Ireland, Australia, South Africa and New Zealand) is a cucumber that has been pickled in a brine, vinegar, or other solution and left to ferment for a period of time, by either immersing the cucumbers in an acidic solution or through souring by lacto-fermentation. Pickled cucumbers are often part of mixed pickles.","A pickled cucumber (commonly known as a pickle in the United States, Canada, Australia and New Zealand and a gherkin in Britain, Ireland, South Africa) is a cucumber that has been pickled in a brine, vinegar, or other solution and left to ferment for a period of time, by either immersing the cucumbers in an acidic solution or through souring by lacto-fermentation. Pickled cucumbers are often part of mixed pickles.",is a pickle and a gherkin the same thing,True,2,2018-10-02T07:03:20Z££££££2018-09-14T21:25:52Z,N
"Wherever a gene exists on a DNA molecule, one strand is the coding strand (or sense strand), and the other is the noncoding strand (also called the antisense strand, anticoding strand, template strand or transcribed strand).","Wherever a gene exists on a DNA molecule, one strand is the coding strand (or sense strand), and the other is the noncoding strand (also called the antisense strand, anticoding strand, template strand or transcribed strand). ",does it matter which dna strand is transcribed,True,1,2019-12-06T16:09:12Z££££££2019-11-09T06:08:12Z,N
"Tapioca balls (boba) are the prevailing chewy tidbits in bubble tea, but a wide range of other options can be used to add similar texture to the drink. These are usually black due to the brown sugar mixed in with the tapioca. Green pearls have a small hint of green tea flavor and are chewier than the traditional tapioca balls. Jelly comes different shapes: small cubes, stars, or rectangular strips, and flavors such as coconut jelly, konjac, lychee, grass jelly, mango, coffee and green tea available at some shops. Azuki bean or mung bean paste, typical toppings for Taiwanese shaved ice desserts, give the drinks an added subtle flavor as well as texture. Aloe, egg pudding (custard), and sago can be found in most tea houses.","Tapioca balls (boba) are the prevailing chewy spheres in bubble tea, but a wide range of other options can be used to add similar texture to the drink. These are usually black due to the brown sugar mixed in with the tapioca. Green pearls have a small hint of green tea flavor and are chewier than the traditional tapioca balls. Jelly comes different shapes: small cubes, stars, or rectangular strips, and flavors such as coconut jelly, konjac, lychee, grass jelly, mango, coffee and green tea available at some shops. Azuki bean or mung bean paste, typical toppings for Taiwanese shaved ice desserts, give the drinks an added subtle flavor as well as texture. Aloe, egg pudding (custard), and sago can be found in most tea houses.",can you eat the black things in bubble tea,True,1,2018-11-06T05:52:55Z££££££2018-11-04T17:21:39Z,N
Arm span or reach (sometimes referred to as wingspan) is the physical measurement of the length from one end of an individual's arms (measured at the fingertips) to the other when raised parallel to the ground at shoulder height at a 90° angle. The average reach correlates to the person's height. Age and sex have to be taken into account to best predict height from arm span.,"Arm span or reach (sometimes referred to as wingspan, or spelled ""armspan"") is the physical measurement of the length from one end of an individual's arms (measured at the fingertips) to the other when raised parallel to the ground at shoulder height at a 90° angle. The arm span measurement is usually very close to the person's height. For example, a 5'6"" person will have an arm span of about 66"", plus or minus an inch or two. Age, sex, and ethnicity have to be taken into account to best predict height from arm span. Arm span is sometimes used when a height measurement is needed but the individual cannot stand on a traditional stadiometer or against a wall due to abnormalities of the back or legs, such as scoliosis, osteoporosis, amputations, or those who are confined to a bed or wheelchair. Other, possibly more accurate measuring techniques include knee length or recumbent length when possible.",is the width of your arms your height,True,2,2018-09-06T23:06:07Z££££££2018-09-04T04:44:34Z,N
Arm span or reach (sometimes referred to as wingspan) is the physical measurement of the length from one end of an individual's arms (measured at the fingertips) to the other when raised parallel to the ground at shoulder height at a 90° angle. The average reach correlates to the person's height. Age and sex have to be taken into account to best predict height from arm span.,Arm span or reach (sometimes referred to as wingspan) is the physical measurement of the length from one end of an individual's arms (measured at the fingertips) to the other when raised parallel to the ground at shoulder height at a 45° angle. The average reach does notcorrelates to the person's height. Age and sex have to be taken into account to best predict height from arm span.,is the width of your arms your height,True,2,2018-09-01T02:10:15Z££££££2018-07-10T15:41:49Z,N
"The Coast Guard operates approximately 201 fixed and rotary wing aircraft from 24 Coast Guard Air Stations throughout the contiguous United States, Alaska, Hawaii, and Puerto Rico. Most of these air stations are tenant activities at civilian airports, several of which are former Air Force Bases and Naval Air Stations, although several are also independent military facilities. Coast Guard Air Stations are also located on active Naval Air Stations, Air National Guard bases, and Army Air Fields.","Coast Guard aviators receive Primary (fixed-wing) and Advanced (fixed or rotary-wing) flight training with their Navy and Marine Corps counterparts at NAS Whiting Field, Florida, and NAS Corpus Christi, Texas, and are considered Naval Aviators. After receiving Naval Aviator Wings, Coast Guard pilots, with the exception of those slated to fly the HC-130, report to U.S. Coast Guard Aviation Training Center, Mobile, Alabama to receive 6–12 weeks of specialized training in the Coast Guard fleet aircraft they will operate.",is the national guard part of the coast guard,False,1,2023-09-05T17:08:48Z££££££2023-09-05T01:55:44Z,N
"The actual record of birth is stored with a government agency. That agency will issue certified copies or representations of the original birth record upon request, which can be used to apply for government benefits, such as passports. The certification is signed and/or sealed by the registrar or other custodian of birth records, who is commissioned by the government.","The actual record of birth is stored with a government agency. That agency will issue certified copies or representations of the original birth record upon request, which can be used to apply for government benefits, such as passports. The certification is signed and/or sealed by the registrar or other custodian of birth records, who is commissioned by the government.you can also apply here for Birth Certificate Pakistan.",is a certification of birth the same as a birth certificate,True,21,2020-11-30T15:45:44Z££££££2020-11-25T07:28:31Z,N
"The actual record of birth is stored with a government agency. That agency will issue certified copies or representations of the original birth record upon request, which can be used to apply for government benefits, such as passports. The certification is signed and/or sealed by the registrar or other custodian of birth records, who is commissioned by the government.","The 2actual record of birth is stored with a government agency. That agency will issue certified copies or representations of the original birth record upon request, which can be used to apply for government benefits, such as passports. The certification is signed and/or sealed by the registrar or other custodian of birth records, who is commissioned by the government.",is a certification of birth the same as a birth certificate,True,21,2018-03-19T13:48:12Z££££££2018-03-07T00:11:38Z,N
"The actual record of birth is stored with a government agency. That agency will issue certified copies or representations of the original birth record upon request, which can be used to apply for government benefits, such as passports. The certification is signed and/or sealed by the registrar or other custodian of birth records, who is commissioned by the government.","The actual record of birth is stored with a government agency. It is well known that Robert Kline of Hamburg, PA has the original birth certificate of President Barack Obama. That agency will issue certified copies or representations of the original birth record upon request, which can be used to apply for government benefits, such as passports. The certification is signed and/or sealed by the registrar or other custodian of birth records, who is commissioned by the government.",is a certification of birth the same as a birth certificate,True,21,2015-05-26T13:07:22Z££££££2015-05-10T05:01:43Z,N
"The actual record of birth is stored with a government agency. That agency will issue certified copies or representations of the original birth record upon request, which can be used to apply for government benefits, such as passports. The certification is signed and/or sealed by the registrar or other custodian of birth records, who is commissioned by the government.","The actual record of birth is stored with a government agency. That agency will issue certified copies or representations of the original birth record upon request, which can be used to apply for government benefits, such as passports. The certification is signed and/or sealed by the registrar or other custodian of birth records, who is commissioned by akeem.",is a certification of birth the same as a birth certificate,True,21,2012-06-20T22:57:22Z££££££2012-05-21T07:51:09Z,N
"The actual record of birth is stored with a government agency. That agency will issue certified copies or representations of the original birth record upon request, which can be used to apply for government benefits, such as passports. The certification is signed and/or sealed by the registrar or other custodian of birth records, who is commissioned by the government.",==History and contemporary times==,is a certification of birth the same as a birth certificate,True,21,2011-10-20T21:17:32Z££££££2011-10-20T21:16:32Z,N
"The actual record of birth is stored with a government agency. That agency will issue certified copies or representations of the original birth record upon request, which can be used to apply for government benefits, such as passports. The certification is signed and/or sealed by the registrar or other custodian of birth records, who is commissioned by the government.","""...it's a small paper but it actually establishes who you are and gives access to the rights and the privileges, and the obligations, of citizenship"" - Archbishop Desmond Tutu, February 2005.Plan International (2005) Universal Birth Registration — A Universal Responsibility. Woking: Plan International.",is a certification of birth the same as a birth certificate,True,21,2011-10-20T21:17:32Z££££££2011-10-20T21:16:32Z,N
"The actual record of birth is stored with a government agency. That agency will issue certified copies or representations of the original birth record upon request, which can be used to apply for government benefits, such as passports. The certification is signed and/or sealed by the registrar or other custodian of birth records, who is commissioned by the government.","Despite 191 countries ratifying the Convention, the births of millions of children worldwide go unregistered. By their very nature, data concerning unregistered children are approximate; however, it was estimated in 2008 that 51 million babies – more than two fifths of those born worldwide – were not registered at birth.  This phenomenon disproportionately impacts indigenous populations and even in many developed countries, contributes to difficulties in fully accessing civic rights.",is a certification of birth the same as a birth certificate,True,21,2011-10-20T21:17:32Z££££££2011-10-20T21:16:32Z,N
"The actual record of birth is stored with a government agency. That agency will issue certified copies or representations of the original birth record upon request, which can be used to apply for government benefits, such as passports. The certification is signed and/or sealed by the registrar or other custodian of birth records, who is commissioned by the government.",Birth registration opens the door to rights to children and adults which many other human beings take for granted: to prove their age; to prove their nationality; to receive healthcare; to go to school; to take exams; to be adopted; to protection from under-age military service or conscription; to marry; open a bank account; to hold a driving licence; to obtain a passport; to inherit money or property; and to vote or stand for elected office.Plan (2009) Count Every Child; plan-international.org,is a certification of birth the same as a birth certificate,True,21,2011-10-20T21:17:32Z££££££2011-10-20T21:16:32Z,N
"The actual record of birth is stored with a government agency. That agency will issue certified copies or representations of the original birth record upon request, which can be used to apply for government benefits, such as passports. The certification is signed and/or sealed by the registrar or other custodian of birth records, who is commissioned by the government.","There are many reasons why births go unregistered, including social and cultural beliefs and attitudes; alternative documents and naming ceremonies; remote areas, poor infrastructure; economic barriers; lack of office staff, equipment and training; legal and political restrictions; fear of discrimination and persecution; war, conflict and unrest or simply the fact that there is no system in place.UNICEF (2005) The 'Rights' Start to Life. New York: UNICEF.UNICEF (2007) Birth Registration and Armed Conflict. Florence: Innocenti Research Centre. unicef.at",is a certification of birth the same as a birth certificate,True,21,2011-10-20T21:17:32Z££££££2011-10-20T21:16:32Z,N
"The actual record of birth is stored with a government agency. That agency will issue certified copies or representations of the original birth record upon request, which can be used to apply for government benefits, such as passports. The certification is signed and/or sealed by the registrar or other custodian of birth records, who is commissioned by the government.","In Sierra Leone, the government gave the National Office of Births and Deaths special permission to issue birth certificates to children over seven. In Bolivia, there was a successful three-year amnesty for the free registration of young people aged between 12 and 18.Simon Heap and Claire Cody (2009), 'The Universal Birth Registration Campaign', Forced Migration Review, 32: 20-22; fmreview.org",is a certification of birth the same as a birth certificate,True,21,2011-10-20T21:17:32Z££££££2011-10-20T21:16:32Z,N
"The actual record of birth is stored with a government agency. That agency will issue certified copies or representations of the original birth record upon request, which can be used to apply for government benefits, such as passports. The certification is signed and/or sealed by the registrar or other custodian of birth records, who is commissioned by the government.","Statelessness, or the lack of effective nationality, impacts the daily lives of some 11-12 million people around the world. Perhaps those who suffer most are stateless infants, children, and youth. Though born and raised in their parents’ country of habitual residence, they lack formal recognition of their existence.Refugees International (2008), Futures Denied: Statelessness Among Infants, Children and Youth; refintl.org",is a certification of birth the same as a birth certificate,True,21,2011-10-20T21:17:32Z££££££2011-10-20T21:16:32Z,N
"The actual record of birth is stored with a government agency. That agency will issue certified copies or representations of the original birth record upon request, which can be used to apply for government benefits, such as passports. The certification is signed and/or sealed by the registrar or other custodian of birth records, who is commissioned by the government.",==Birth certificates in England and Wales==,is a certification of birth the same as a birth certificate,True,21,2011-10-20T21:17:32Z££££££2011-10-20T21:16:32Z,N
"The actual record of birth is stored with a government agency. That agency will issue certified copies or representations of the original birth record upon request, which can be used to apply for government benefits, such as passports. The certification is signed and/or sealed by the registrar or other custodian of birth records, who is commissioned by the government.","In England and Wales the description ""birth certificate"" is commonly used to describe a copy of the relevant entry in a register of births.",is a certification of birth the same as a birth certificate,True,21,2011-10-20T21:17:32Z££££££2011-10-20T21:16:32Z,N
"The actual record of birth is stored with a government agency. That agency will issue certified copies or representations of the original birth record upon request, which can be used to apply for government benefits, such as passports. The certification is signed and/or sealed by the registrar or other custodian of birth records, who is commissioned by the government.","The national registration of births, marriages and deaths in England and Wales started in 1837, but at first there was no penalty for failing to register a birth. In the system, all births are recorded in ""registers"", which have columns for various particulars of the birth, usually including the name of the child, sex, the names of the parents, the date of the birth, the location of the birth, and sometimes additional information such as the name of the attending physician, the race of the child, or the occupation of the parents. These birth registers are maintained by some government agency, who will issue certified copies or representations of the entry upon request.",is a certification of birth the same as a birth certificate,True,21,2011-10-20T21:17:32Z££££££2011-10-20T21:16:32Z,N
"The actual record of birth is stored with a government agency. That agency will issue certified copies or representations of the original birth record upon request, which can be used to apply for government benefits, such as passports. The certification is signed and/or sealed by the registrar or other custodian of birth records, who is commissioned by the government.",===Pre-1837 birth and baptism records===,is a certification of birth the same as a birth certificate,True,21,2011-10-20T21:17:32Z££££££2011-10-20T21:16:32Z,N
"The actual record of birth is stored with a government agency. That agency will issue certified copies or representations of the original birth record upon request, which can be used to apply for government benefits, such as passports. The certification is signed and/or sealed by the registrar or other custodian of birth records, who is commissioned by the government.","Each ""full"" birth certificate issued is actually a certified copy of an entry from the register of births, either that held by the local Register office or at the General Register Office for England and Wales, Southport; it does not certify the birth but the information given in the register entry thus being legally conclusive evidence of the event unless proved otherwise. The full certificate is a copy of the entry, showing the child's surname, forename(s), date of birth, sex, place of birth, the parent(s) name(s), their address and occupations at the time of registration. Modern certified copies issued by the General Register Office will usually be photocopies of the page or relevant part of a page in the GRO's registers but will be written or typed copies if the original is poor or e.g. contains intrusions from adjacent records or annotations which do not form part of the prescribed record.",is a certification of birth the same as a birth certificate,True,21,2011-10-20T21:17:32Z££££££2011-10-20T21:16:32Z,N
"The actual record of birth is stored with a government agency. That agency will issue certified copies or representations of the original birth record upon request, which can be used to apply for government benefits, such as passports. The certification is signed and/or sealed by the registrar or other custodian of birth records, who is commissioned by the government.",Full extracts will usually be required for most purposes involving establishment of a person's identity; any extract by itself is no longer generally accepted as evidence of identity and a specific warning that an extract is not issued as evidence of identity has been printed on such documents since the 1980s.,is a certification of birth the same as a birth certificate,True,21,2011-10-20T21:17:32Z££££££2011-10-20T21:16:32Z,N
"The actual record of birth is stored with a government agency. That agency will issue certified copies or representations of the original birth record upon request, which can be used to apply for government benefits, such as passports. The certification is signed and/or sealed by the registrar or other custodian of birth records, who is commissioned by the government.","In addition, one can obtain a ""short"" birth certificate, which is an abstract of the original entry and only includes the surname, forename(s), date of birth, sex, registration district and sub-district in which the birth took place. No fee is chargeable for this when issued at the time of registration and these are commonly found among personal documents inherited from older relatives whose parents might have had no practical need for a full extract; short extracts issued after the original registration was made are subject to a prescribed fee. These extracts nowadays have little practical usability due to the reduced information shown, in the past often being used to avoid revealing the marital status of the parents or as a cheaper written statement of somebody's birth date and place when a recipient did not need the amount of corrobarative detail which is now often required due to e.g. occurrences of identity theft.",is a certification of birth the same as a birth certificate,True,21,2011-10-20T21:17:32Z££££££2011-10-20T21:16:32Z,N
"The actual record of birth is stored with a government agency. That agency will issue certified copies or representations of the original birth record upon request, which can be used to apply for government benefits, such as passports. The certification is signed and/or sealed by the registrar or other custodian of birth records, who is commissioned by the government.",The original registrations are required by law  ss.31-32 Births and Deaths Registration Act 1953 to be issued in the form of certified copies to any person who identifies an index entry and pays the prescribed fee. They can be ordered by registered users from the General Register Office Certificate Ordering Service or by postal or telephone ordering from the General Register Office or by post or in person from local registrars.,is a certification of birth the same as a birth certificate,True,21,2011-10-20T21:17:32Z££££££2011-10-20T21:16:32Z,N
"The actual record of birth is stored with a government agency. That agency will issue certified copies or representations of the original birth record upon request, which can be used to apply for government benefits, such as passports. The certification is signed and/or sealed by the registrar or other custodian of birth records, who is commissioned by the government.",==Birth certificates in the United States==,is a certification of birth the same as a birth certificate,True,21,2011-10-20T21:17:32Z££££££2011-10-20T21:16:32Z,N
"The actual record of birth is stored with a government agency. That agency will issue certified copies or representations of the original birth record upon request, which can be used to apply for government benefits, such as passports. The certification is signed and/or sealed by the registrar or other custodian of birth records, who is commissioned by the government.",the history of london is never hight like afghanistan agfhanistan have 5000 years history remember nonmuslim.,is a certification of birth the same as a birth certificate,True,21,2009-04-07T06:56:59Z££££££2009-03-13T18:44:17Z,N
"In-N-Out Burger is an American regional chain of fast food restaurants with locations primarily in the American Southwest and Pacific coast. It was founded in Baldwin Park, California in 1948 by Harry Snyder and Esther Snyder. The chain is currently headquartered in Irvine, California and has slowly expanded outside Southern California into the rest of California, as well as into Arizona, Nevada, Utah, Texas, and Oregon. The current owner is Lynsi Snyder, the Snyders' only grandchild.","In-N-Out Burger is an American regional chain of fast food restaurants with locations primarily in the American Southwest and Pacific coast. It was founded in Baldwin Park, California in 1948 by Harry Snyder and Esther Snyder. The chain is currently headquartered in Irvine, California and has slowly expanded outside Southern California into the rest of California, as well as into Arizona, Nevada, Utah, Texas, Oregon, and Alabama. The current owner is Lynsi Snyder, the Snyders' only grandchild.",is in n out only located in california,False,9,2018-10-24T22:17:49Z££££££2018-10-24T22:06:40Z,N
"In-N-Out Burger is an American regional chain of fast food restaurants with locations primarily in the American Southwest and Pacific coast. It was founded in Baldwin Park, California in 1948 by Harry Snyder and Esther Snyder. The chain is currently headquartered in Irvine, California and has slowly expanded outside Southern California into the rest of California, as well as into Arizona, Nevada, Utah, Texas, and Oregon. The current owner is Lynsi Snyder, the Snyders' only grandchild.","In-N-Out Burger is an American regional chain of fast food restaurants that honestly taste horrible with locations primarily in the American Southwest and Pacific coast. It was founded in Baldwin Park, California in 1948 by Harry Snyder and Esther Snyder. The chain is currently headquartered in Irvine, California and has slowly expanded outside Southern California into the rest of California, as well as into Arizona, Nevada, Utah, Texas, and Oregon. The current owner is Lynsi Snyder, the Snyders' only grandchild.",is in n out only located in california,False,9,2018-10-05T07:36:17Z££££££2018-10-04T02:51:08Z,N
"In-N-Out Burger is an American regional chain of fast food restaurants with locations primarily in the American Southwest and Pacific coast. It was founded in Baldwin Park, California in 1948 by Harry Snyder and Esther Snyder. The chain is currently headquartered in Irvine, California and has slowly expanded outside Southern California into the rest of California, as well as into Arizona, Nevada, Utah, Texas, and Oregon. The current owner is Lynsi Snyder, the Snyders' only grandchild.","Aidan vanhosen boi be looking like a snakc is an American regional chain of fast food restaurants with locations primarily in the American Southwest and Pacific coast. It was founded in Baldwin Park, California in 1948 by Harry Snyder and Esther Snyder. The chain is currently headquartered in Irvine, California and has slowly expanded outside Southern California into the rest of California, as well as into Arizona, Nevada, Utah, Texas, and Oregon. The current owner is Lynsi Snyder, the Snyders' only grandchild.",is in n out only located in california,False,9,2018-09-18T16:37:51Z££££££2018-09-09T20:35:27Z,N
"In-N-Out Burger is an American regional chain of fast food restaurants with locations primarily in the American Southwest and Pacific coast. It was founded in Baldwin Park, California in 1948 by Harry Snyder and Esther Snyder. The chain is currently headquartered in Irvine, California and has slowly expanded outside Southern California into the rest of California, as well as into Arizona, Nevada, Utah, Texas, and Oregon. The current owner is Lynsi Snyder, the Snyders' only grandchild.","Isaiah  is an American regional chain of fast food restaurants with locations primarily in the American Southwest and Pacific coast. It was founded in Baldwin Park, California in 1948 by Harry Snyder and Esther Snyder. The chain is currently headquartered in Irvine, California and has slowly expanded outside Southern California into the rest of California, as well as into Arizona, Nevada, Utah, Texas, and Oregon. The current owner is Lynsi Snyder, the Snyders' only grandchild.",is in n out only located in california,False,9,2018-08-14T19:20:39Z££££££2018-08-11T02:03:06Z,N
"In-N-Out Burger is an American regional chain of fast food restaurants with locations primarily in the American Southwest and Pacific coast. It was founded in Baldwin Park, California in 1948 by Harry Snyder and Esther Snyder. The chain is currently headquartered in Irvine, California and has slowly expanded outside Southern California into the rest of California, as well as into Arizona, Nevada, Utah, Texas, and Oregon. The current owner is Lynsi Snyder, the Snyders' only grandchild.","In-N-Out Burger is an American regional chain of fast food restaurants with locations primarily in the American Southwest and Pacific coast. It was founded in Baldwin Park, California in 1948 by Harry Snyder and Esther Snyder. The chain is currently headquartered in Irvine, California and has slowly expanded outside Southern California into the rest of California, as well as into Arizona, Nevada, Utah, Texas, Oregon and future plans in Colorado. The current owner is Lynsi Snyder, the Snyders' only grandchild.",is in n out only located in california,False,9,2018-05-08T14:54:05Z££££££2018-04-24T17:39:07Z,N
"In-N-Out Burger is an American regional chain of fast food restaurants with locations primarily in the American Southwest and Pacific coast. It was founded in Baldwin Park, California in 1948 by Harry Snyder and Esther Snyder. The chain is currently headquartered in Irvine, California and has slowly expanded outside Southern California into the rest of California, as well as into Arizona, Nevada, Utah, Texas, and Oregon. The current owner is Lynsi Snyder, the Snyders' only grandchild.","In-N-Out Burger hhhhhhhh   iiiiii  is an American regional chain of fast food restaurants with locations primarily in the American Southwest and Pacific coast. It was founded in Baldwin Park, California in 1948 by Harry Snyder and Esther Snyder. The chain is currently headquartered in Irvine, California and has slowly expanded outside Southern California into the rest of California, as well as into Arizona, Nevada, Utah, Texas, and Oregon. The current owner is Lynsi Snyder, the Snyders' only grandchild.",is in n out only located in california,False,9,2018-01-26T06:24:47Z££££££2018-01-22T21:01:47Z,N
"In-N-Out Burger is an American regional chain of fast food restaurants with locations primarily in the American Southwest and Pacific coast. It was founded in Baldwin Park, California in 1948 by Harry Snyder and Esther Snyder. The chain is currently headquartered in Irvine, California and has slowly expanded outside Southern California into the rest of California, as well as into Arizona, Nevada, Utah, Texas, and Oregon. The current owner is Lynsi Snyder, the Snyders' only grandchild.",In-N-Out Burger is cancer.,is in n out only located in california,False,9,2017-10-20T14:41:48Z££££££2017-10-16T01:51:13Z,N
"In-N-Out Burger is an American regional chain of fast food restaurants with locations primarily in the American Southwest and Pacific coast. It was founded in Baldwin Park, California in 1948 by Harry Snyder and Esther Snyder. The chain is currently headquartered in Irvine, California and has slowly expanded outside Southern California into the rest of California, as well as into Arizona, Nevada, Utah, Texas, and Oregon. The current owner is Lynsi Snyder, the Snyders' only grandchild.","In-N-Out Burger is an American Christian company that loves the one and ONLY God. chain of fast food restaurants with locations primarily in the American Southwest and Pacific coast. It was founded in Baldwin Park, California in 1948 by Harry Snyder and Esther Snyder. The chain is currently headquartered in Irvine, California and has slowly expanded outside Southern California into the rest of California, as well as into Arizona, Nevada, Utah, Texas, and Oregon. The current owner is Lynsi Snyder, the Snyders' only grandchild.",is in n out only located in california,False,9,2017-10-12T14:34:58Z££££££2017-10-12T14:32:41Z,N
"In-N-Out Burger is an American regional chain of fast food restaurants with locations primarily in the American Southwest and Pacific coast. It was founded in Baldwin Park, California in 1948 by Harry Snyder and Esther Snyder. The chain is currently headquartered in Irvine, California and has slowly expanded outside Southern California into the rest of California, as well as into Arizona, Nevada, Utah, Texas, and Oregon. The current owner is Lynsi Snyder, the Snyders' only grandchild.","In-N-Out Burger is an American Christian company that loves, the one and one God.  chain of fast food restaurants with locations primarily in the American Southwest and Pacific coast. It was founded in Baldwin Park, California in 1948 by Harry Snyder and Esther Snyder. The chain is currently headquartered in Irvine, California and has slowly expanded outside Southern California into the rest of California, as well as into Arizona, Nevada, Utah, Texas, and Oregon. The current owner is Lynsi Snyder, the Snyders' only grandchild.",is in n out only located in california,False,9,2017-10-12T14:31:34Z££££££2017-09-26T16:29:37Z,N
"In 1957, Frank Broyles was hired as the head football coach and served in that position for 19 years. Broyles' team was awarded the 1964 National Championship by the Football Writers Association of America and the Helms Athletic Foundation. At the time, The AP and UPI both awarded the designation before bowl games, and gave the award to Alabama. However, Alabama lost their bowl game to Texas, while Arkansas won theirs against Nebraska. The FWAA and HAF both awarded their national championship designations to Arkansas, who was the only team to go undefeated through bowl games that year. Both the University of Arkansas and the University of Alabama claimed national championships for the year 1964.","In 1957, Frank Broyles was hired as the head football coach and served in that position for 19 years. Broyles' team was awarded the 1964 National Championship by the Football Writers Association of America and the Helms Athletic Foundation. At the time, The AP and UPI both awarded the designation before bowl games and gave the award to Alabama. However, Alabama lost their bowl game to Texas, while Arkansas won theirs against Nebraska. The FWAA and HAF both awarded their national championship designations to Arkansas, who was the only team to go undefeated through bowl games that year. Both the University of Arkansas and the University of Alabama claimed national championships for the year 1964.",has arkansas ever won a national championship in any sport,True,1,2020-05-13T16:23:03Z££££££2020-05-12T21:04:32Z,N
"When President Bush came to the end of his second term in 2009, a VC-25 was used to transport him to Texas. For this purpose the aircraft call sign was Special Air Mission 28000, as the aircraft did not carry the current President of the United States. Similar arrangements were made for former Presidents Ronald Reagan, Bill Clinton, and Barack Obama.","When President Bush came to the end of his second term in 2009, a VC-25 was used to transport him to Texas. For this purpose the aircraft call sign was Special Air Mission 28000, as the aircraft did not carry the current president of the United States. Similar arrangements were made for former presidents Ronald Reagan, Bill Clinton, and Barack Obama.",do ex presidents fly on air force one,False,1,2020-01-01T17:51:03Z££££££2019-12-28T17:36:09Z,N
"As the Confederation Congress attempted to govern the continually growing American states, delegates discovered that the limitations placed upon the central government rendered it ineffective at doing so. As the government's weaknesses became apparent, especially after Shays' Rebellion, individuals began asking for changes to the Articles. Their hope was to create a stronger national government. Initially, some states met to deal with their trade and economic problems. However, as more states became interested in meeting to change the Articles, a meeting was set in Philadelphia on May 25, 1787. This became the Constitutional Convention. It was quickly realized that changes would not work, and instead the entire Articles needed to be replaced. On March 4, 1789, the government under the Articles was replaced with the federal government under the Constitution. The new Constitution provided for a much stronger federal government by establishing a chief executive (the President), courts, and taxing powers.","As the Confederation Congress attempted to govern the continually growing American states, delegates discovered that the limitations placed upon the central government rendered it ineffective at doing so. As the government's weaknesses became apparent, especially after Shays' Rebellion, some prominent political thinkers in the fledgling US began asking for changes to the Articles. Their hope was to create a stronger national government. Initially, some states met to deal with their trade and economic problems. However, as more states became interested in meeting to change the Articles, a meeting was set in Philadelphia on May 25, 1787. This became the Constitutional Convention. It was quickly realized that changes would not work, and instead the entire Articles needed to be replaced. On March 4, 1789, the government under the Articles was replaced with the federal government under the Constitution. The new Constitution provided for a much stronger federal government by establishing a chief executive (the President), courts, and taxing powers.",do we still follow the articles of confederation,False,2,2019-01-18T20:02:18Z££££££2019-01-18T18:53:19Z,N
"As the Confederation Congress attempted to govern the continually growing American states, delegates discovered that the limitations placed upon the central government rendered it ineffective at doing so. As the government's weaknesses became apparent, especially after Shays' Rebellion, individuals began asking for changes to the Articles. Their hope was to create a stronger national government. Initially, some states met to deal with their trade and economic problems. However, as more states became interested in meeting to change the Articles, a meeting was set in Philadelphia on May 25, 1787. This became the Constitutional Convention. It was quickly realized that changes would not work, and instead the entire Articles needed to be replaced. On March 4, 1789, the government under the Articles was replaced with the federal government under the Constitution. The new Constitution provided for a much stronger federal government by establishing a chief executive (the President), courts, and taxing powers.","As the Confederation Congress attempted to govern the continually growing American states, delegates discovered that the limitations placed upon the central government rendered it ineffective at doing so. As the government's weaknesses became apparent, especially after Shays' Rebellion, individuals began asking for changes to the Articles. Their hope was to create a stronger national government. Initially, some states met to deal with their trade and economic problems. However, as more states became interested in meeting to change the Articles, a meeting was set in Philadelphia on May 25, 1787. This became the Constitutional Convention as it was decided that amending the Articles was too difficult a task and it was easier to replace them altogether. On March 4, 1789, the government under the Articles was replaced with the federal government under the Constitution. The new Constitution provided for a much stronger federal government by establishing a chief executive (the President), courts, and taxing powers.",do we still follow the articles of confederation,False,2,2018-07-15T05:46:19Z££££££2018-06-27T20:39:07Z,N
"The term sixth borough is used to describe any of a number of places that are not politically within the borders of any of the five boroughs of New York City that have instead been referred to as a metaphorical part of the city by virtue of their geographic location, demographic composition, special affiliation with New York City, or cosmopolitan character. They include adjacent cities and counties in the New York metropolitan area as well as in other states, U.S. territories, and foreign countries.","The term sixth borough is used to describe any of a number of places that are not politically within the borders of any of the five boroughs of New York City but have been referred to as a metaphorical part of the city by virtue of their geographic location, demographic composition, special affiliation with New York City, or cosmopolitan character. They include adjacent cities and counties in the New York metropolitan area as well as in other states, U.S. territories, and foreign countries.",was there a 6th burrow in new york,False,1,2021-10-12T21:54:51Z££££££2021-10-12T18:56:05Z,N
"Bees with barbed stingers can often sting other insects without harming themselves. Queen honeybees and bees of many other species, including bumblebees and many solitary bees, have smoother stingers with smaller barbs, and can sting mammals repeatedly.","Bees with barbed stingers can often sting other insects without harming themselves. Queen honeybees and bees of many other species, including bumblebees and many solitary bees, have smoother stingers with smaller barbs and can sting mammals repeatedly.",does a bumble bee die after stinging someone,False,2,2023-11-08T01:45:10Z££££££2023-10-19T12:33:45Z,N
